City;University
İstanbul;İstanbul Teknik Üniversitesi (İTÜ)
İstanbul;İstanbul Üniversitesi (İÜ)
İstanbul;İstanbul Üniversitesi-Cerrahpaşa (İÜC)
İstanbul;Marmara Üniversitesi (MÜ)
İstanbul;Milli Savunma Üniversitesi (Askerî) (MSÜ)
İstanbul;Mimar Sinan Güzel Sanatlar Üniversitesi (MSGSÜ)
İstanbul;Türkiye Uluslararası İslam, Bilim ve Teknoloji Üniversitesi
İstanbul;Türk-Alman Üniversitesi (TAÜ)
İstanbul;Türk-Japon Bilim ve Teknoloji Üniversitesi (TJÜ)
İstanbul;Sağlık Bilimleri Üniversitesi (SBÜ)
İstanbul;Yıldız Teknik Üniversitesi (YTÜ)
İstanbul;Acıbadem Üniversitesi
İstanbul;Bahçeşehir Üniversitesi
İstanbul;Beykent Üniversitesi
İstanbul;Bezmialem Vakıf Üniversitesi
İstanbul;Biruni Üniversitesi
İstanbul;Doğuş Üniversitesi
İstanbul;Fatih Sultan Mehmet Üniversitesi
İstanbul;Fenerbahçe Üniversitesi
İstanbul;Haliç Üniversitesi
İstanbul;Işık Üniversitesi
İstanbul;İbn Haldun Üniversitesi
İstanbul;İstanbul 29 Mayıs Üniversitesi
İstanbul;Altınbaş Üniversitesi
İstanbul;İstanbul Arel Üniversitesi
İstanbul;İstanbul Atlas Üniversitesi
İstanbul;İstanbul Aydın Üniversitesi
İstanbul;Beykoz Üniversitesi
İstanbul;İstanbul Bilgi Üniversitesi
İstanbul;İstanbul Galata Üniversitesi
İstanbul;Demiroğlu Bilim Üniversitesi
İstanbul;İstanbul Ticaret Üniversitesi
İstanbul;İstanbul Esenyurt Üniversitesi
İstanbul;İstanbul Gedik Üniversitesi
İstanbul;İstanbul Gelişim Üniversitesi
İstanbul;İstanbul Kent Üniversitesi
İstanbul;İstanbul Kültür Üniversitesi
İstanbul;İstanbul Medipol Üniversitesi
İstanbul;İstanbul Okan Üniversitesi
İstanbul;İstanbul Rumeli Üniversitesi
İstanbul;İstanbul Sabahattin Zaim Üniversitesi
İstanbul;İstanbul Topkapı Üniversitesi
İstanbul;İstinye Üniversitesi
İstanbul;Kadir Has Üniversitesi
İstanbul;Koç Üniversitesi
İstanbul;Maltepe Üniversitesi
İstanbul;MEF Üniversitesi
İstanbul;Nişantaşı Üniversitesi
İstanbul;Özyeğin Üniversitesi
İstanbul;Piri Reis Üniversitesi
İstanbul;Sabancı Üniversitesi
İstanbul;İstanbul Sağlık ve Teknoloji Üniversitesi
İstanbul;Üsküdar Üniversitesi
İstanbul;Yeditepe Üniversitesi
İstanbul;Yeni Yüzyıl Üniversitesi
İzmir;Dokuz Eylül Üniversitesi (DEÜ)
İzmir;Ege Üniversitesi (EÜ)
İzmir;İzmir Yüksek Teknoloji Enstitüsü (İYTE)
İzmir;İzmir Kâtip Çelebi Üniversitesi (İKÇÜ)
İzmir;İzmir Bakırçay Üniversitesi
İzmir;İzmir Demokrasi Üniversitesi (İDÜ)
İzmir;İzmir Ekonomi Üniversitesi
İzmir;İzmir Tınaztepe Üniversitesi
İzmir;Yaşar Üniversitesi
Kahramanmaraş;Kahramanmaraş Sütçü İmam Üniversitesi (KSÜ)
Kahramanmaraş;Kahramanmaraş İstiklal Üniversitesi (KİÜ)
Karabük;Karabük Üniversitesi (KBÜ)
Karaman;Karamanoğlu Mehmetbey Üniversitesi (KMÜ)
Kars;Kafkas Üniversitesi (KAÜ)
Kastamonu;Kastamonu Üniversitesi (KÜ)
Kayseri;Abdullah Gül Üniversitesi (AGÜ)
Kayseri;Erciyes Üniversitesi (ERÜ)
Kayseri;Kayseri Üniversitesi (KAYÜ)
Kayseri;Nuh Naci Yazgan Üniversitesi
Kırıkkale;Kırıkkale Üniversitesi (KKÜ)
Kırklareli;Kırklareli Üniversitesi (KLÜ)
Kırşehir;Kırşehir Ahi Evran Üniversitesi (KAEÜ)
Kilis;Kilis 7 Aralık Üniversitesi (KİYÜ)
Kocaeli;Gebze Teknik Üniversitesi (GTÜ)
Kocaeli;Kocaeli Üniversitesi (KOÜ)
Kocaeli;Kocaeli Sağlık ve Teknoloji Üniversitesi
Konya;Konya Teknik Üniversitesi (KTÜN)
Konya;Necmettin Erbakan Üniversitesi (NEÜ)
Konya;Selçuk Üniversitesi (SÜ)
Konya;Konya Gıda ve Tarım Üniversitesi
Konya;KTO Karatay Üniversitesi
Kütahya;Kütahya Dumlupınar Üniversitesi (DPÜ)
Kütahya;Kütahya Sağlık Bilimleri Üniversitesi (KSBÜ)
Malatya;İnönü Üniversitesi (İNÜ)
Malatya;Malatya Turgut Özal Üniversitesi (MTÜ)
Manisa;Manisa Celal Bayar Üniversitesi (MCBÜ)
Mardin;Mardin Artuklu Üniversitesi (MAÜ)
Mersin;Mersin Üniversitesi (MEÜ)
Mersin;Tarsus Üniversitesi
Mersin;Çağ Üniversitesi
Mersin;Toros Üniversitesi
Muğla;Muğla Sıtkı Koçman Üniversitesi (MSKÜ)
Muş;Muş Alparslan Üniversitesi (MŞÜ)
Nevşehir;Nevşehir Hacı Bektaş Veli Üniversitesi (NEVÜ)
Nevşehir;Kapadokya Üniversitesi
Niğde;Niğde Ömer Halisdemir Üniversitesi (OHÜ)
Ordu;Ordu Üniversitesi (ODÜ)
Osmaniye;Osmaniye Korkut Ata Üniversitesi (OKÜ)
Rize;Recep Tayyip Erdoğan Üniversitesi (RTEÜ)
Sakarya;Sakarya Üniversitesi (SAÜ)
Sakarya;Sakarya Uygulamalı Bilimler Üniversitesi
Samsun;Ondokuz Mayıs Üniversitesi (OMÜ)
Samsun;Samsun Üniversitesi (SAMÜ)
Siirt;Siirt Üniversitesi (SİÜ)
Sinop;Sinop Üniversitesi (SNÜ)
Sivas;Sivas Cumhuriyet Üniversitesi (SCÜ)
Sivas;Sivas Bilim ve Teknoloji Üniversitesi (SBTÜ)
Şanlıurfa;Harran Üniversitesi (HRÜ)
Şırnak;Şırnak Üniversitesi (ŞÜ)
Tekirdağ;Tekirdağ Namık Kemal Üniversitesi (NKÜ)
Tokat;Tokat Gaziosmanpaşa Üniversitesi (TOGÜ)
Trabzon;Karadeniz Teknik Üniversitesi (KTÜ)
Trabzon;Trabzon Üniversitesi (TRÜ)
Trabzon;Avrasya Üniversitesi
Tunceli;Munzur Üniversitesi (MUNÜ)
Uşak;Uşak Üniversitesi (UÜ)
Van;Van Yüzüncü Yıl Üniversitesi (YYÜ)
Yalova;Yalova Üniversitesi (YÜ)
Yozgat;Yozgat Bozok Üniversitesi (YOBÜ)
Zonguldak;Zonguldak Bülent Ecevit Üniversitesi (BEÜN)
